date,load
2019/5/12 8:30,5657.82
2019/5/12 9:00,5618.36
2019/5/12 9:30,5531.97
2019/5/12 10:00,5384.39
2019/5/12 10:30,5205.27
2019/5/12 11:00,5091.47
2019/5/12 11:30,4953.43
2019/5/12 12:00,4882.84
2019/5/12 12:30,4862.86
2019/5/12 13:00,4928.12
2019/5/12 13:30,4908.58
2019/5/12 14:00,5053.22
2019/5/12 14:30,5191.06
2019/5/12 15:00,5338.65
2019/5/12 15:30,5521.16
2019/5/12 16:00,5753.35
2019/5/12 16:30,5933.28
2019/5/12 17:00,6226.48
2019/5/12 17:30,6556.6
2019/5/12 18:00,6773.67
2019/5/12 18:30,6829.83
2019/5/12 19:00,6773.18
2019/5/12 19:30,6671.38
2019/5/12 20:00,6580.54
2019/5/12 20:30,6510.79
2019/5/12 21:00,6347.53
2019/5/12 21:30,6280.18
2019/5/12 22:00,6156.44
2019/5/12 22:30,6045.1
2019/5/12 23:00,5931.18
2019/5/12 23:30,5738.22
2019/5/13 0:00,5537.82
2019/5/13 0:30,5414.62
2019/5/13 1:00,5275.52
2019/5/13 1:30,5149.7
2019/5/13 2:00,5109.61
2019/5/13 2:30,5050.01
2019/5/13 3:00,5067.93
2019/5/13 3:30,5064.45
2019/5/13 4:00,5069.39
2019/5/13 4:30,5157.59
2019/5/13 5:00,5278.46
2019/5/13 5:30,5471.24
2019/5/13 6:00,5676.27
2019/5/13 6:30,6031.27
2019/5/13 7:00,6367.58
2019/5/13 7:30,6706.8
2019/5/13 8:00,6757.34
2019/5/13 8:30,6638.23
2019/5/13 9:00,6545.32
2019/5/13 9:30,6366.76
2019/5/13 10:00,6246.54
2019/5/13 10:30,6116.32
2019/5/13 11:00,6068.33
2019/5/13 11:30,5957.26
2019/5/13 12:00,5891.03
2019/5/13 12:30,5934.3
2019/5/13 13:00,5965.98
2019/5/13 13:30,6090.11
2019/5/13 14:00,6190.05
2019/5/13 14:30,6302.19
2019/5/13 15:00,6386.42
2019/5/13 15:30,6500.47
2019/5/13 16:00,6647.73
2019/5/13 16:30,6798.7
2019/5/13 17:00,7015.89
2019/5/13 17:30,7190.98
2019/5/13 18:00,7378.69
2019/5/13 18:30,7349.36
2019/5/13 19:00,7330.14
2019/5/13 19:30,7123.74
2019/5/13 20:00,6997.09
2019/5/13 20:30,6873.78
2019/5/13 21:00,6690.27
2019/5/13 21:30,6560.59
2019/5/13 22:00,6402.79
2019/5/13 22:30,6247.22
2019/5/13 23:00,6136.08
2019/5/13 23:30,5909.9
2019/5/14 0:00,5752.29
2019/5/14 0:30,5525.33
2019/5/14 1:00,5376.2
2019/5/14 1:30,5289.69
2019/5/14 2:00,5225.97
2019/5/14 2:30,5138.08
2019/5/14 3:00,5152.65
2019/5/14 3:30,5143.87
2019/5/14 4:00,5168.25
2019/5/14 4:30,5258.78
2019/5/14 5:00,5333.26
2019/5/14 5:30,5565.19
2019/5/14 6:00,5792.97
2019/5/14 6:30,6115.14
2019/5/14 7:00,6414.81
2019/5/14 7:30,6620.47
2019/5/14 8:00,6621.88
2019/5/14 8:30,6501.49
2019/5/14 9:00,6337.2
2019/5/14 9:30,6228.72
2019/5/14 10:00,6149.7
2019/5/14 10:30,6033.85
2019/5/14 11:00,5933.78
2019/5/14 11:30,5941.75
2019/5/14 12:00,5950.79
2019/5/14 12:30,5948.83
2019/5/14 13:00,6029.85
2019/5/14 13:30,6144.6
2019/5/14 14:00,6219.64
2019/5/14 14:30,6370.92
2019/5/14 15:00,6454.88
2019/5/14 15:30,6507.47
2019/5/14 16:00,6654.69
2019/5/14 16:30,6760.86
2019/5/14 17:00,6947.92
2019/5/14 17:30,7192.91
2019/5/14 18:00,7339.51
2019/5/14 18:30,7311.53
2019/5/14 19:00,7237.65
2019/5/14 19:30,7061.64
2019/5/14 20:00,6993.69
2019/5/14 20:30,6869.19
2019/5/14 21:00,6667.89
2019/5/14 21:30,6548
2019/5/14 22:00,6397.95
2019/5/14 22:30,6251.77
2019/5/14 23:00,6122.57
2019/5/14 23:30,5872.85
2019/5/15 0:00,5646.26
2019/5/15 0:30,5472
2019/5/15 1:00,5305.6
2019/5/15 1:30,5216.64
2019/5/15 2:00,5143.3
2019/5/15 2:30,5105.34
2019/5/15 3:00,5130.94
2019/5/15 3:30,5117.27
2019/5/15 4:00,5133.21
2019/5/15 4:30,5190.62
2019/5/15 5:00,5285.58
2019/5/15 5:30,5453.85
2019/5/15 6:00,5673.79
2019/5/15 6:30,6038.25
2019/5/15 7:00,6380.62
2019/5/15 7:30,6657.31
2019/5/15 8:00,6685.7
2019/5/15 8:30,6530.09
2019/5/15 9:00,6362.68
2019/5/15 9:30,6188.21
2019/5/15 10:00,6097.71
2019/5/15 10:30,6048.54
2019/5/15 11:00,6031.66
2019/5/15 11:30,6009.71
2019/5/15 12:00,6062.35
2019/5/15 12:30,6182.63
2019/5/15 13:00,6236.95
2019/5/15 13:30,6238.2
2019/5/15 14:00,6263.84
2019/5/15 14:30,6353.47
2019/5/15 15:00,6416
2019/5/15 15:30,6515.53
2019/5/15 16:00,6691.91
2019/5/15 16:30,6809.72
2019/5/15 17:00,7006.88
2019/5/15 17:30,7182.26
2019/5/15 18:00,7365.73
2019/5/15 18:30,7314.3
2019/5/15 19:00,7247.32
2019/5/15 19:30,7053.08
2019/5/15 20:00,6975.97
2019/5/15 20:30,6851.37
2019/5/15 21:00,6685.96
2019/5/15 21:30,6587.92
2019/5/15 22:00,6386.26
2019/5/15 22:30,6255.3
2019/5/15 23:00,6076.39
2019/5/15 23:30,5867.24
2019/5/16 0:00,5647.81
2019/5/16 0:30,5435.38
2019/5/16 1:00,5300.12
2019/5/16 1:30,5247.18
2019/5/16 2:00,5180.2
2019/5/16 2:30,5118.65
2019/5/16 3:00,5122.32
2019/5/16 3:30,5122.23
2019/5/16 4:00,5152.45
2019/5/16 4:30,5223.24
2019/5/16 5:00,5303.81
2019/5/16 5:30,5515.2
2019/5/16 6:00,5733.19
2019/5/16 6:30,6091.82
2019/5/16 7:00,6396.76
2019/5/16 7:30,6590.64
2019/5/16 8:00,6523.27
2019/5/16 8:30,6365.52
2019/5/16 9:00,6206.98
2019/5/16 9:30,6085.31
2019/5/16 10:00,5991.67
2019/5/16 10:30,5877.75
2019/5/16 11:00,5855.83
2019/5/16 11:30,5827.85
2019/5/16 12:00,5817.65
2019/5/16 12:30,5859.67
2019/5/16 13:00,5885.98
2019/5/16 13:30,5965.58
2019/5/16 14:00,6011.57
2019/5/16 14:30,6129.21
2019/5/16 15:00,6251.49
2019/5/16 15:30,6373.24
2019/5/16 16:00,6556.82
2019/5/16 16:30,6748.73
2019/5/16 17:00,6989.8
2019/5/16 17:30,7163.65
2019/5/16 18:00,7358.26
2019/5/16 18:30,7298.26
2019/5/16 19:00,7280.99
2019/5/16 19:30,7152.58
2019/5/16 20:00,7064.55
2019/5/16 20:30,6947.48
2019/5/16 21:00,6752.48
2019/5/16 21:30,6580.56
2019/5/16 22:00,6408.96
2019/5/16 22:30,6312.96
2019/5/16 23:00,6159.15
2019/5/16 23:30,5942.98
2019/5/17 0:00,5706.29
2019/5/17 0:30,5518.66
2019/5/17 1:00,5356.32
2019/5/17 1:30,5251.4
2019/5/17 2:00,5186.27
2019/5/17 2:30,5157.84
2019/5/17 3:00,5116.5
2019/5/17 3:30,5134.25
2019/5/17 4:00,5173.76
2019/5/17 4:30,5194.68
2019/5/17 5:00,5251.22
2019/5/17 5:30,5444.06
2019/5/17 6:00,5652.64
2019/5/17 6:30,6013.29
2019/5/17 7:00,6336.97
2019/5/17 7:30,6662.75
2019/5/17 8:00,6700
2019/5/17 8:30,6523.57
2019/5/17 9:00,6449.73
2019/5/17 9:30,6400.22
2019/5/17 10:00,6296.32
2019/5/17 10:30,6223.3
2019/5/17 11:00,6105.82
2019/5/17 11:30,6178.24
2019/5/17 12:00,6181.42
2019/5/17 12:30,6126.76
2019/5/17 13:00,6055.18
2019/5/17 13:30,6104.2
2019/5/17 14:00,6171.91
2019/5/17 14:30,6213.11
2019/5/17 15:00,6254.55
2019/5/17 15:30,6346.01
2019/5/17 16:00,6519.43
2019/5/17 16:30,6672.65
2019/5/17 17:00,6892.73
2019/5/17 17:30,7025.62
2019/5/17 18:00,7173.24
2019/5/17 18:30,7096.27
2019/5/17 19:00,7060.91
2019/5/17 19:30,6888.45
2019/5/17 20:00,6837.22
2019/5/17 20:30,6724.44
2019/5/17 21:00,6566.55
2019/5/17 21:30,6499.75
2019/5/17 22:00,6358.98
2019/5/17 22:30,6287.77
2019/5/17 23:00,6166.62
2019/5/17 23:30,5982.61
2019/5/18 0:00,5721.53
2019/5/18 0:30,5545.16
2019/5/18 1:00,5402.02
2019/5/18 1:30,5312.84
2019/5/18 2:00,5226.28
2019/5/18 2:30,5205.15
2019/5/18 3:00,5161.33
2019/5/18 3:30,5105.89
2019/5/18 4:00,5126.01
2019/5/18 4:30,5159.36
2019/5/18 5:00,5173.21
2019/5/18 5:30,5275.74
2019/5/18 6:00,5361.44
2019/5/18 6:30,5516.22
2019/5/18 7:00,5657.71
2019/5/18 7:30,5838.77
2019/5/18 8:00,5888.74
2019/5/18 8:30,5857.38
2019/5/18 9:00,5793.42
2019/5/18 9:30,5701.99
2019/5/18 10:00,5618.07
2019/5/18 10:30,5547.35
2019/5/18 11:00,5467.13
2019/5/18 11:30,5386.95
2019/5/18 12:00,5366.53
2019/5/18 12:30,5408.77
2019/5/18 13:00,5489.97
2019/5/18 13:30,5528.4
2019/5/18 14:00,5600.47
2019/5/18 14:30,5695.05
2019/5/18 15:00,5772.83
2019/5/18 15:30,5885.99
2019/5/18 16:00,6041.41
2019/5/18 16:30,6204.34
2019/5/18 17:00,6436.98
2019/5/18 17:30,6665.36
2019/5/18 18:00,6811.46
2019/5/18 18:30,6777.72
2019/5/18 19:00,6737.41
2019/5/18 19:30,6581.05
2019/5/18 20:00,6539.7
2019/5/18 20:30,6451.83
2019/5/18 21:00,6282.29
2019/5/18 21:30,6230.89
2019/5/18 22:00,6114.27
2019/5/18 22:30,6082.28
2019/5/18 23:00,6025.08
2019/5/18 23:30,5811.58
2019/5/19 0:00,5618.07
2019/5/19 0:30,5473.82
2019/5/19 1:00,5294.72
2019/5/19 1:30,5159.91
2019/5/19 2:00,5121.59
2019/5/19 2:30,5086.29
2019/5/19 3:00,5018.98
2019/5/19 3:30,5086.81
2019/5/19 4:00,5076.07
2019/5/19 4:30,5088.84
2019/5/19 5:00,5073.64
2019/5/19 5:30,5160.43
2019/5/19 6:00,5223.51
2019/5/19 6:30,5338.67
2019/5/19 7:00,5392.33
2019/5/19 7:30,5503.63
2019/5/19 8:00,5621.55
2019/5/19 8:30,5646.1
2019/5/19 9:00,5607.13
2019/5/19 9:30,5596.53
2019/5/19 10:00,5542.97
2019/5/19 10:30,5446.6
2019/5/19 11:00,5414.5
2019/5/19 11:30,5389.29
2019/5/19 12:00,5330.33
2019/5/19 12:30,5334.08
2019/5/19 13:00,5372.84
2019/5/19 13:30,5424.07
2019/5/19 14:00,5480.47
2019/5/19 14:30,5543.37
2019/5/19 15:00,5648.37
2019/5/19 15:30,5841.64
2019/5/19 16:00,6058.69
2019/5/19 16:30,6218.41
2019/5/19 17:00,6503.4
2019/5/19 17:30,6800.89
2019/5/19 18:00,7022.2
2019/5/19 18:30,7019.38
2019/5/19 19:00,6968.73
2019/5/19 19:30,6798.14
2019/5/19 20:00,6747
2019/5/19 20:30,6627.79
2019/5/19 21:00,6445.6
2019/5/19 21:30,6300.66
2019/5/19 22:00,6165.02
2019/5/19 22:30,6036.49
2019/5/19 23:00,5952.41
2019/5/19 23:30,5750.44
2019/5/20 0:00,5583.06
2019/5/20 0:30,5416.32
2019/5/20 1:00,5269.65
2019/5/20 1:30,5183.08
2019/5/20 2:00,5121.09
2019/5/20 2:30,5091.51
2019/5/20 3:00,5062.88
2019/5/20 3:30,5086.44
2019/5/20 4:00,5107.67
2019/5/20 4:30,5172.73
2019/5/20 5:00,5250.65
